HDI rank,Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank
34,Poland,0.876,76.5,16.0,13.2,"33,034",8,36
35,Bahrain,0.875,78.8,16.3,11.0,"39,497",-1,35
35,Lithuania,0.875,73.7,16.3,13.5,"37,931",5,34
35,Saudi Arabia,0.875,76.9,16.1,11.3,"46,112",-10,38
38,Portugal,0.866,81.0,16.9,9.6,"33,155",3,39
39,Latvia,0.863,73.6,16.2,13.3,"32,803",4,37
40,Andorra,0.858,80.4,13.3,10.6,"51,167",-19,45
40,Croatia,0.858,77.6,15.1,12.2,"30,132",8,41
42,Chile,0.855,78.9,16.7,10.9,"24,563",14,43
42,Qatar,0.855,79.3,12.6,10.0,"87,134",-39,42
44,San Marino,0.853,80.9,12.3,10.8,"52,654",-25,46
45,Slovakia,0.848,74.9,14.5,12.9,"30,690",1,40
46,Hungary,0.846,74.5,15.0,12.2,"32,789",-2,44
47,Argentina,0.842,75.4,17.9,11.1,"20,925",17,47
48,Turkiye,0.838,76.0,18.3,8.6,"31,033",-3,48
49,Montenegro,0.832,76.3,15.1,12.2,"20,839",16,52
50,Kuwait,0.831,78.7,15.3,7.3,"52,920",-32,54
51,Brunei Darussalam,0.829,74.6,14.0,9.2,"64,490",-42,49
52,Russian Federation,0.822,69.4,15.8,12.8,"27,166",-1,49
53,Romania,0.821,74.2,14.2,11.3,"30,027",-4,53
54,Oman,0.816,72.5,14.6,11.7,"27,054",-2,51
55,Bahamas,0.812,71.6,12.9,12.6,"30,486",-8,58
56,Kazakhstan,0.811,69.4,15.8,12.3,"23,943",1,59
57,Trinidad and Tobago,0.810,73.0,14.5,11.6,"23,392",1,56
58,Costa Rica,0.809,77.0,16.5,8.8,"19,974",8,57
58,Uruguay,0.809,75.4,16.8,9.0,"21,269",5,55
60,Belarus,0.808,72.4,15.2,12.1,"18,849",8,60
61,Panama,0.805,76.2,13.1,10.5,"26,957",-8,67
62,Malaysia,0.803,74.9,13.3,10.6,"26,658",-8,61
63,Georgia,0.802,71.7,15.6,12.8,"14,664",17,64
63,Mauritius,0.802,73.6,15.2,10.4,"22,025",-1,62
63,Serbia,0.802,74.2,14.4,11.4,"19,123",4,62
66,Thailand,0.800,78.7,15.9,8.7,"17,030",6,64
67,Albania,0.796,76.5,14.4,11.3,"14,131",17,68
68,Bulgaria,0.795,71.8,13.9,11.4,"23,079",-8,64
68,Grenada,0.795,74.9,18.7,9.0,"13,484",18,70
70,Barbados,0.790,77.6,15.7,9.9,"12,306",26,71
71,Antigua and Barbuda,0.788,78.5,14.2,9.3,"16,792",2,71
72,Seychelles,0.785,71.3,13.9,10.3,"25,831",-17,69
73,Sri Lanka,0.782,76.4,14.1,10.8,"12,578",21,75
74,Bosnia and Herzegovina,0.780,75.3,13.8,10.5,"15,242",4,73
75,Saint Kitts and Nevis,0.777,71.7,15.4,8.7,"23,358",-16,76
76,Iran (Islamic Republic of),0.774,73.9,14.6,10.6,"13,001",15,77
77,Ukraine,0.773,71.6,15.0,11.1,"13,256",11,78
78,North Macedonia,0.770,73.8,13.6,10.2,"15,918",-3,79
79,China,0.768,78.2,14.2,7.6,"17,504",-8,82
80,Dominican Republic,0.767,72.6,14.5,9.3,"17,990",-11,82
80,Moldova (Republic of),0.767,68.8,14.4,11.8,"14,875",-1,81
80,Palau,0.767,66.0,15.8,12.5,"13,819",5,80
83,Cuba,0.764,73.7,14.4,12.5,"7,879",37,73
84,Peru,0.762,72.4,15.4,9.9,"12,246",13,85
85,Armenia,0.759,72.0,13.1,11.3,"13,158",4,87
86,Mexico,0.758,70.2,14.9,9.2,"17,896",-16,88
87,Brazil,0.754,72.8,15.6,8.1,"14,370",-5,86
88,Colombia,0.752,72.8,14.4,8.9,"14,384",-7,88
89,Saint Vincent and the Grenadines,0.751,69.6,14.7,10.8,"11,961",11,82
90,Maldives,0.747,79.9,12.6,7.3,"15,448",-14,97
91,Algeria,0.745,76.4,14.6,8.1,"10,800",13,96
91,Azerbaijan,0.745,69.4,13.5,10.5,"14,257",-8,100
91,Tonga,0.745,71.0,16.0,11.4,"6,822",34,90
91,Turkmenistan,0.745,69.3,13.2,11.3,"13,021",-1,93
95,Ecuador,0.740,73.7,14.6,8.8,"10,312",11,99
96,Mongolia,0.739,71.0,15.0,9.4,"10,588",9,90
97,Egypt,0.731,70.2,13.8,9.6,"11,732",4,97
97,Tunisia,0.731,73.8,15.4,7.4,"10,258",10,94
99,Fiji,0.730,67.1,14.7,10.9,"9,980",9,94
99,Suriname,0.730,70.3,13.0,9.8,"12,672",-6,92
101,Uzbekistan,0.727,70.9,12.5,11.9,"7,917",18,107
102,Dominica,0.720,72.8,13.3,8.1,"11,488",0,106
102,Jordan,0.720,74.3,10.6,10.4,"9,924",8,104
104,Libya,0.718,71.9,12.9,7.6,"15,336",-27,117
105,Paraguay,0.717,70.3,13.0,8.9,"12,349",-10,100
106,"Palestine, State of",0.715,73.5,13.4,9.9,"6,583",21,109
106,Saint Lucia,0.715,71.1,12.9,8.5,"12,048",-7,104
108,Guyana,0.714,65.7,12.5,8.6,"22,465",-47,107
109,South Africa,0.713,62.3,13.6,11.4,"12,948",-17,102
110,Jamaica,0.709,70.5,13.4,9.2,"8,834",4,110
111,Samoa,0.707,72.8,12.4,11.4,"5,308",24,112
112,Gabon,0.706,65.8,13.0,9.4,"13,367",-25,113
112,Lebanon,0.706,75.0,11.3,8.7,"9,526",-1,103
114,Indonesia,0.705,67.6,13.7,8.6,"11,466",-11,116
115,Viet Nam,0.703,73.6,13.0,8.4,"7,867",6,113
116,Philippines,0.699,69.3,13.1,9.0,"8,920",-3,113
117,Botswana,0.693,61.1,12.3,10.3,"16,198",-43,110
118,Bolivia (Plurinational State of),0.692,63.6,14.9,9.8,"8,111",0,119
118,Kyrgyzstan,0.692,70.0,13.2,11.4,"4,566",26,121
120,Venezuela (Bolivarian Republic of),0.691,70.6,12.8,11.1,"4,811",20,118
121,Iraq,0.686,70.4,12.1,7.9,"9,977",-12,122
122,Tajikistan,0.685,71.6,11.7,11.3,"4,548",23,126
123,Belize,0.683,70.5,13.0,8.8,"6,309",6,120
123,Morocco,0.683,74.0,14.2,5.9,"7,303",1,122
125,El Salvador,0.675,70.7,12.7,7.2,"8,296",-8,124
126,Nicaragua,0.667,73.8,12.6,7.1,"5,625",6,129
127,Bhutan,0.666,71.8,13.2,5.2,"9,438",-15,125
128,Cabo Verde,0.662,74.1,12.6,6.3,"6,230",2,127
129,Bangladesh,0.661,72.4,12.4,7.4,"5,472",4,128
130,Tuvalu,0.641,64.5,9.4,10.6,"6,351",-2,131
131,Marshall Islands,0.639,65.3,10.2,10.9,"4,620",12,131
132,India,0.633,67.2,11.9,6.7,"6,590",-6,130
133,Ghana,0.632,63.8,12.0,8.3,"5,745",-2,135
134,Micronesia (Federated States of),0.628,70.7,11.5,7.8,"3,696",22,136
135,Guatemala,0.627,69.2,10.6,5.7,"8,723",-20,133
136,Kiribati,0.624,67.4,11.8,8.0,"4,063",14,137
137,Honduras,0.621,70.1,10.1,7.1,"5,298",-1,138
138,Sao Tome and Principe,0.618,67.6,13.4,6.2,"4,021",13,139
139,Namibia,0.615,59.3,11.9,7.2,"8,634",-23,134
140,Lao People's Democratic Republic,0.607,68.1,10.1,5.4,"7,700",-18,142
140,Timor-Leste,0.607,67.7,12.6,5.4,"4,461",7,140
140,Vanuatu,0.607,70.4,11.5,7.1,"3,085",23,142
143,Nepal,0.602,68.4,12.9,5.1,"3,877",10,144
144,Eswatini (Kingdom of),0.597,57.1,13.7,5.6,"7,679",-21,141
145,Equatorial Guinea,0.596,60.6,9.7,5.9,"12,074",-47,147
146,Cambodia,0.593,69.6,11.5,5.1,"4,079",3,148
146,Zimbabwe,0.593,59.3,12.1,8.7,"3,810",9,145
148,Angola,0.586,61.6,12.2,5.4,"5,466",-14,149
149,Myanmar,0.585,65.7,10.9,6.4,"3,851",5,145
150,Syrian Arab Republic,0.577,72.1,9.2,5.1,"4,192",-2,152
151,Cameroon,0.576,60.3,13.1,6.2,"3,621",6,150
152,Kenya,0.575,61.4,10.7,6.7,"4,474",-6,150
153,Congo,0.571,63.5,12.3,6.2,"2,889",11,153
154,Zambia,0.565,61.2,10.9,7.2,"3,218",7,154
155,Solomon Islands,0.564,70.3,10.3,5.7,"2,482",13,155
156,Comoros,0.558,63.4,11.9,5.1,"3,142",6,156
156,Papua New Guinea,0.558,65.4,10.4,4.7,"4,009",-4,157
158,Mauritania,0.556,64.4,9.4,4.9,"5,075",-20,158
159,C�te d'Ivoire,0.550,58.6,10.7,5.2,"5,217",-22,159
160,Tanzania (United Republic of),0.549,66.2,9.2,6.4,"2,664",7,160
161,Pakistan,0.544,66.1,8.7,4.5,"4,624",-19,161
162,Togo,0.539,61.6,13.0,5.0,"2,167",12,163
163,Haiti,0.535,63.2,9.7,5.6,"2,848",2,162
163,Nigeria,0.535,52.7,10.1,7.2,"4,790",-22,163
165,Rwanda,0.534,66.1,11.2,4.4,"2,210",6,165
166,Benin,0.525,59.8,10.8,4.3,"3,409",-7,166
166,Uganda,0.525,62.7,10.1,5.7,"2,181",6,166
168,Lesotho,0.514,53.1,12.0,6.0,"2,700",-2,168
169,Malawi,0.512,62.9,12.7,4.5,"1,466",13,169
170,Senegal,0.511,67.1,9.0,2.9,"3,344",-10,170
171,Djibouti,0.509,62.3,7.4,4.1,"5,025",-32,171
172,Sudan,0.508,65.3,7.9,3.8,"3,575",-14,171
173,Madagascar,0.501,64.5,10.1,5.1,"1,484",8,173
174,Gambia,0.500,62.1,9.4,4.6,"2,172",-1,173
175,Ethiopia,0.498,65.0,9.7,3.2,"2,361",-5,175
176,Eritrea,0.492,66.5,8.1,4.9,"1,729",3,176
177,Guinea-Bissau,0.483,59.7,10.6,3.6,"1,908",0,177
178,Liberia,0.481,60.7,10.4,5.1,"1,289",7,179
179,Congo (Democratic Republic of the),0.479,59.2,9.8,7.0,"1,076",9,180
180,Afghanistan,0.478,62.0,10.3,3.0,"1,824",-2,177
181,Sierra Leone,0.477,60.1,9.6,4.6,"1,622",-1,181
182,Guinea,0.465,58.9,9.8,2.2,"2,481",-13,182
183,Yemen,0.455,63.8,9.1,3.2,"1,314",1,183
184,Burkina Faso,0.449,59.3,9.1,2.1,"2,118",-8,185
185,Mozambique,0.446,59.3,10.2,3.2,"1,198",2,184
186,Mali,0.428,58.9,7.4,2.3,"2,133",-11,186
187,Burundi,0.426,61.7,10.7,3.1,732,4,187
188,Central African Republic,0.404,53.9,8.0,4.3,966,1,188
189,Niger,0.400,61.6,7.0,2.1,"1,240",-3,189
190,Chad,0.394,52.5,8.0,2.6,"1,364",-7,190
191,South Sudan,0.385,55.0,5.5,5.7,768,-1,191
